text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",10,3,IBcCBrtjE4aBB0LWuUP3ioI2jc0,n(.ꞽ).t,n.ꞽ.t,𓈖𓐰𓏏,𓈖𓏏,"['𓈖', '𓏏']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓈖', '𓏏']","['complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",10,4,IBcCBqvd3KOhH0TWho62yWOoeFs,srwḫ,srwḫ,𓋴𓂋𓐰𓏲𓐍𓐰𓐎𓐱𓏛,𓋴𓂋𓏲𓐍𓐎𓏛,"['𓋴', '𓂋', '𓏲', '𓐍', '𓐎', '𓏛']",139310,srwḫ,VERB,,behandeln; pflegen,,,0.0,"['𓋴', '𓂋', '𓏲', '𓐍', '𓐎', '𓏛']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",10,5,IBcCBt7S4J0Z5EFnoGQVWo7VqOA,msḏr,msḏr,𓄕𓏤,𓄕𓏤,"['𓄕', '𓏤']",76230,msḏr,NOUN,,Ohr,,,0.0,"['𓄕', '𓏤']","['complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",11,2,IBcCBodHnyolQknhuM3Ua97dov4,srwḫ,srwḫ,𓋴𓂋𓐰𓏲𓐍𓐰𓐎𓏛,𓋴𓂋𓏲𓐍𓐎𓏛,"['𓋴', '𓂋', '𓏲', '𓐍', '𓐎', '𓏛']",139310,srwḫ,VERB,,behandeln; pflegen,,,0.0,"['𓋴', '𓂋', '𓏲', '𓐍', '𓐎', '𓏛']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",11,3,IBcCBprEYlrTbEa8hFAzlCsdp0Q,⸗k,⸗k,𓎢,𓎢,['𓎢'],10110,⸗k,PRON,,[Suffix Pron. sg.2.m.],,,0.0,['𓎢'],['complete']
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",11,4,IBcCBhoZdg4kkUlIvp5eusP2vxI,sw,sw,𓇓𓏲,𓇓𓏲,"['𓇓', '𓏲']",129490,sw,PRON,,er [Enkl. Pron. sg.3.m.]; sich [Enkl. Pron. sg.3.m.]; ihn [Enkl. Pron. sg.3.m.],,,0.0,"['𓇓', '𓏲']","['complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",11,5,IBcCBl2gW37fckEQgYLHpU7RnEw,m,m,𓅓,𓅓,['𓅓'],64364,m,PREP,,mittels; durch (etwas); [instrumental],,,0.0,['𓅓'],['complete']
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",11,6,IBcCBgLLn9j8b005kMkkW1wPN84,sp.w,sp.w,𓊃𓐰𓊪𓐱𓏲𓈒𓐰𓏥,𓊃𓊪𓏲𓈒𓏥,"['𓊃', '𓊪', '𓏲', '𓈒', '𓏥']",132320,zp,NOUN,,"Heilmittel, Mittel",,,0.0,"['𓊃', '𓊪', '𓏲', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",11,8,IBcCBsmzijJax0t0tOPqdKVBhnA,qb(b).w,qbb.w,𓏁𓏲𓈗,𓏁𓏲𓈗,"['𓏁', '𓏲', '𓈗']",550102,qbb,ADJ,,kühl; ruhig,,,0.0,"['𓏁', '𓏲', '𓈗']","['complete', 'complete', 'complete']"
7GYITRCORFDG5LSMIKTYILCDJY,"Medizinische Texte || pEbers || 91,2-93,5 = Eb 764-782: Heilmittel gegen Leiden an Ohren, Haaren und Haut",12,1,IBcCBo1i31Rly0dbsX8qhvGDtQ0,ꞽmi̯,ꞽmi̯,𓇋𓅓𓂜,𓇋𓅓𓂜,"['𓇋', '𓅓', '𓂜']",25170,ꞽmi̯,VERB,,nicht sein; nicht sollen; [Negativverb],,,0.0,"['𓇋', '𓅓', '𓂜']","['complete', 'complete', 'complete']"
