text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",23,1,IBYCk1JU5ryGmkbNkdpjRiRu1Mo,s(w)šr,swšr,𓋴𓈙𓐰𓂋𓇳,𓋴𓈙𓂋𓇳,"['𓋴', '𓈙', '𓂋', '𓇳']",130790,swšr,VERB,,dörren; trocknen,,,0.0,"['𓋴', '𓈙', '𓂋', '𓇳']","['complete', 'complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",24,1,IBYCkyZyNVuGREOFqcFFyXxqiFA,nḏ,nḏ,𓐩𓏌𓐰𓂝,𓐩𓏌𓂝,"['𓐩', '𓏌', '𓂝']",90880,nḏ,VERB,,zerreiben; mahlen; abreiben,,,0.0,"['𓐩', '𓏌', '𓂝']","['complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",25,1,IBYCk0oOL2ELiEJrgpXSILyWu1Y,ꜣmꞽ.w,ꜣmꞽ.w,𓄿𓏇𓇋𓏲𓀜,𓄿𓏇𓇋𓏲𓀜,"['𓄿', '𓏇', '𓇋', '𓏲', '𓀜']",136,ꜣmꞽ,VERB,,(etwas) mischen,,,0.0,"['𓄿', '𓏇', '𓇋', '𓏲', '𓀜']","['complete', 'complete', 'complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",25,2,IBYCkW0r0vlWQ0g0r9T9MwaRoIk,ḥr,ḥr,𓁷𓏤,𓁷𓏤,"['𓁷', '𓏤']",400093,ḥr,PREP,,und (zur Koordination zweier Subst.); mit,,,0.0,"['𓁷', '𓏤']","['complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",25,3,IBYCk2SkrGLYeUUVvJCp8d6glik,ꞽbrꞽ,ꞽbrꞽ,𓇋𓃀𓂋𓇋𓈒𓐰𓏥,𓇋𓃀𓂋𓇋𓈒𓏥,"['𓇋', '𓃀', '𓂋', '𓇋', '𓈒', '𓏥']",23780,ꞽbr,NOUN,,[ein Öl (Ladanum?)],,,0.0,"['𓇋', '𓃀', '𓂋', '𓇋', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",26,1,IBYCk0lx6G0PR01GkXIihEiqFc0,wrḥ,wrḥ,𓅨𓐰𓂋𓎛𓏌𓐰𓂝,𓅨𓂋𓎛𓏌𓂝,"['𓅨', '𓂋', '𓎛', '𓏌', '𓂝']",48030,wrḥ,VERB,,aufstreichen; salben,,,0.0,"['𓅨', '𓂋', '𓎛', '𓏌', '𓂝']","['complete', 'complete', 'complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",26,2,IBYCk7FBkmQIQkdkliYYs4WosDU,ꞽm,ꞽm,𓇋𓅓,𓇋𓅓,"['𓇋', '𓅓']",24640,ꞽm,ADV,,da; dort; davon; dadurch; damit,,,0.0,"['𓇋', '𓅓']","['complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",26,4,IBYCk4LLZlJkG0kOgacfN4QSpd0,m-ḫt,m-ḫt,𓅓𓆱𓐰𓐍𓏏𓐰𓂻,𓅓𓆱𓐍𓏏𓂻,"['𓅓', '𓆱', '𓐍', '𓏏', '𓂻']",400151,m-ḫt,PREP,,nachdem (Konjunktion),,,0.0,"['𓅓', '𓆱', '𓐍', '𓏏', '𓂻']","['complete', 'complete', 'complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",26,5,IBYCkzbh7e8VZ0tIpN5xHTEexis,ẖꜥq,ẖꜥq,𓍜<var/>𓀜,𓍜𓀜,"['𓍜', '𓀜']",122800,ẖꜥq,VERB,,rasieren,,,0.0,"['𓍜', '𓀜']","['complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",26,6,IBYCk0DTuH7VhUFSgeNdfbE60zk,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",27,2,IBYCk3q3FXRWgkTOusXl0BPSOIY,k.t,k.t,𓎢𓐰𓏏,𓎢𓏏,"['𓎢', '𓏏']",163760,ky,ADJ,,anderer,,,0.0,"['𓎢', '𓏏']","['complete', 'complete']"
