id,group,addressee
b04_h049,Hymns to Brihaspati,Indra and Brihaspati
b04_h050,Hymns to Brihaspati,Brihaspati
b04_h051,Hymns to Usas,Usas
b04_h052,Hymns to Usas,Usas
b04_h053,Hymns to Savitri,Savitri
b04_h054,Hymns to Savitri,Savitri
b04_h055,Single Hymns,All the Gods
b04_h056,Single Hymns,Heaven and Earth
b04_h057,Single Hymns,Gods of the Field (Charm for Unfruitful Land)
b04_h058,Single Hymns,Ghrita (Ghee)
b05_h001,Hymns to Agni,Agni
b05_h002,Hymns to Agni,Agni
b05_h003,Hymns to Agni,Agni
b05_h004,Hymns to Agni,Agni
b05_h005,Hymns to Agni,Apri Hymn
b05_h006,Hymns to Agni,Agni
b05_h007,Hymns to Agni,Agni
b05_h008,Hymns to Agni,Agni
b05_h009,Hymns to Agni,Agni
b05_h010,Hymns to Agni,Agni
b05_h011,Hymns to Agni,Agni
b05_h012,Hymns to Agni,Agni
b05_h013,Hymns to Agni,Agni
b05_h014,Hymns to Agni,Agni
b05_h015,Hymns to Agni,Agni
b05_h016,Hymns to Agni,Agni
b05_h017,Hymns to Agni,Agni
b05_h018,Hymns to Agni,Agni
b05_h019,Hymns to Agni,Agni
b05_h020,Hymns to Agni,Agni
b05_h021,Hymns to Agni,Agni
b05_h022,Hymns to Agni,Agni
b05_h023,Hymns to Agni,Agni
b05_h024,Hymns to Agni,Agni
b05_h025,Hymns to Agni,Agni
b05_h026,Hymns to Agni,Agni
b05_h027,Hymns to Agni,Agni
b05_h028,Hymns to Agni,Agni
b05_h029,Hymns to Indra,Indra
b05_h030,Hymns to Indra,Indra
b05_h031,Hymns to Indra,Indra
b05_h032,Hymns to Indra,Indra
b05_h033,Hymns to Indra,Indra
b05_h034,Hymns to Indra,Indra
b05_h035,Hymns to Indra,Indra
b05_h036,Hymns to Indra,Indra
b05_h037,Hymns to Indra,Indra
b05_h038,Hymns to Indra,Indra
b05_h039,Hymns to Indra,Indra
b05_h040,Hymns to Indra,"Indra, Surya and Atri"
b05_h041,Hymns to the All-Gods,All the Gods
b05_h042,Hymns to the All-Gods,All the Gods
b05_h043,Hymns to the All-Gods,All the Gods
b05_h044,Hymns to the All-Gods,All the Gods
b05_h045,Hymns to the All-Gods,All the Gods
b05_h046,Hymns to the All-Gods,All the Gods
b05_h047,Hymns to the All-Gods,All the Gods
b05_h048,Hymns to the All-Gods,All the Gods
b05_h049,Hymns to the All-Gods,All the Gods
b05_h050,Hymns to the All-Gods,All the Gods
b05_h051,Hymns to the All-Gods,All the Gods
b05_h052,Hymns of Syavasva to the Maruts,The Maruts
b05_h053,Hymns of Syavasva to the Maruts,The Maruts
b05_h054,Hymns of Syavasva to the Maruts,The Maruts
b05_h055,Hymns of Syavasva to the Maruts,The Maruts
b05_h056,Hymns of Syavasva to the Maruts,The Maruts
b05_h057,Hymns of Syavasva to the Maruts,The Maruts
b05_h058,Hymns of Syavasva to the Maruts,The Maruts
b05_h059,Hymns of Syavasva to the Maruts,The Maruts
b05_h060,Hymns of Syavasva to the Maruts,The Maruts
b05_h061,Hymns of Syavasva to the Maruts,The Maruts and Syavasva
