id,label,strata
b01_h102_08_strata_d,M,C
b01_h102_09_strata_a,M,C
b01_h102_09_strata_b,M,C
b01_h102_09_strata_c,M,C
b01_h102_09_strata_d,M,C
b01_h102_10_strata_a,M,C
b01_h102_10_strata_b,M,C
b01_h102_10_strata_c,M,C
b01_h102_10_strata_d,M,C
b01_h102_11_strata_a,MR,C
b01_h102_11_strata_b,MR,C
b01_h102_11_strata_c,MR,C
b01_h102_11_strata_d,MR,C
b01_h103_01_strata_a,M,C
b01_h103_01_strata_b,M,C
b01_h103_01_strata_c,M,C
b01_h103_01_strata_d,M,C
b01_h103_02_strata_a,M,C
b01_h103_02_strata_b,M,C
b01_h103_02_strata_c,M,C
b01_h103_02_strata_d,M,C
b01_h103_03_strata_a,M,C
b01_h103_03_strata_b,M,C
b01_h103_03_strata_c,M,C
b01_h103_03_strata_d,M,C
b01_h103_04_strata_a,M,C
b01_h103_04_strata_b,M,C
b01_h103_04_strata_c,M,C
b01_h103_04_strata_d,M,C
b01_h103_05_strata_a,M,C
b01_h103_05_strata_b,M,C
b01_h103_05_strata_c,M,C
b01_h103_05_strata_d,M,C
b01_h103_06_strata_a,M,C
b01_h103_06_strata_b,M,C
b01_h103_06_strata_c,M,C
b01_h103_06_strata_d,M,C
b01_h103_07_strata_a,M,C
b01_h103_07_strata_b,M,C
b01_h103_07_strata_c,M,C
b01_h103_07_strata_d,MR,C
b01_h103_08_strata_a,M,C
b01_h103_08_strata_b,M,C
b01_h103_08_strata_c,MR,C
b01_h103_08_strata_d,MR,C
b01_h104_01_strata_a,M,A
b01_h104_01_strata_b,M,A
b01_h104_01_strata_c,M,A
b01_h104_01_strata_d,M,A
b01_h104_02_strata_a,M,A
b01_h104_02_strata_b,M,A
b01_h104_02_strata_c,M,A
b01_h104_02_strata_d,M,A
b01_h104_03_strata_a,M,A
b01_h104_03_strata_b,M,A
b01_h104_03_strata_c,M,A
b01_h104_03_strata_d,M,A
b01_h104_04_strata_a,M,A
b01_h104_04_strata_b,M,A
b01_h104_04_strata_c,M,A
b01_h104_04_strata_d,M,A
b01_h104_05_strata_a,M,A
b01_h104_05_strata_b,M,A
b01_h104_05_strata_c,M,A
b01_h104_05_strata_d,M,A
b01_h104_06_strata_a,M,A
b01_h104_06_strata_b,M,A
b01_h104_06_strata_c,M,A
b01_h104_06_strata_d,M,A
b01_h104_07_strata_a,M,A
b01_h104_07_strata_b,M,A
b01_h104_07_strata_c,M,A
b01_h104_07_strata_d,M,A
b01_h104_08_strata_a,M,A
b01_h104_08_strata_b,M,A
b01_h104_08_strata_c,M,A
b01_h104_08_strata_d,M,A
b01_h104_09_strata_a,M,A
b01_h104_09_strata_b,M,A
b01_h104_09_strata_c,M,A
b01_h104_09_strata_d,M,A
b01_h105_01_strata_a,M,C
b01_h105_01_strata_b,M,C
b01_h105_01_strata_c,M,C
b01_h105_01_strata_d,M,C
b01_h105_01_strata_e,M,C
b01_h105_02_strata_a,M,C
b01_h105_02_strata_b,M,C
b01_h105_02_strata_c,M,C
b01_h105_02_strata_d,M,C
b01_h105_02_strata_e,MR,C
b01_h105_03_strata_a,M,C
b01_h105_03_strata_b,M,C
b01_h105_03_strata_c,M,C
b01_h105_03_strata_d,M,C
b01_h105_03_strata_e,MR,C
b01_h105_04_strata_a,M,C
b01_h105_04_strata_b,M,C
b01_h105_04_strata_c,M,C
b01_h105_04_strata_d,M,C
b01_h105_04_strata_e,MR,C
b01_h105_05_strata_a,M,C
b01_h105_05_strata_b,M,C
b01_h105_05_strata_c,M,C
b01_h105_05_strata_d,M,C
b01_h105_05_strata_e,MR,C
b01_h105_06_strata_a,M,C
b01_h105_06_strata_b,M,C
b01_h105_06_strata_c,M,C
b01_h105_06_strata_d,M,C
b01_h105_06_strata_e,MR,C
b01_h105_07_strata_a,M,C
b01_h105_07_strata_b,M,C
b01_h105_07_strata_c,M,C
b01_h105_07_strata_d,M,C
b01_h105_07_strata_e,MR,C
b01_h105_08_strata_a,M,C
b01_h105_08_strata_b,M,C
b01_h105_08_strata_c,M,C
b01_h105_08_strata_d,M,C
b01_h105_08_strata_e,MR,C
b01_h105_09_strata_a,M,C
b01_h105_09_strata_b,M,C
